Epoca,Accuracy,Precision,Recall,FPR
0,50.682157,59.661836,4.212321,2.848007
100,54.161160,71.319353,13.920273,5.597954
200,54.591771,75.058167,13.753997,4.570454
300,53.935195,69.789880,13.877638,6.007248
400,53.598380,67.402062,13.937327,6.740567
500,54.376466,73.010536,13.886165,5.133234
600,54.376466,73.010536,13.886165,5.133234
700,54.399915,73.076923,13.933063,5.133234
800,54.376466,73.010536,13.886165,5.133234
900,54.399915,73.076923,13.933063,5.133234
1000,54.399915,73.076923,13.933063,5.133234
1100,54.399915,73.076923,13.933063,5.133234
1200,54.399915,73.076923,13.933063,5.133234
1300,54.399915,73.076923,13.933063,5.133234
1400,54.399915,73.076923,13.933063,5.133234
1500,54.399915,73.076923,13.933063,5.133234
1600,54.399915,73.076923,13.933063,5.133234
1700,54.399915,73.076923,13.933063,5.133234
1800,54.399915,73.076923,13.933063,5.133234
1900,54.225112,71.761089,13.933063,5.482839
2000,52.905564,63.113335,13.984225,8.173097
2100,52.905564,63.113335,13.984225,8.173097
2200,53.024941,63.816943,13.971435,7.921552
2300,53.685781,67.984190,13.933063,6.561501
2400,52.905564,63.113335,13.984225,8.173097
2500,52.905564,63.113335,13.984225,8.173097
2600,53.685781,67.984190,13.933063,6.561501
2700,53.685781,67.984190,13.933063,6.561501
2800,53.685781,67.984190,13.933063,6.561501
2900,53.685781,67.984190,13.933063,6.561501
3000,52.905564,63.113335,13.984225,8.173097
3100,52.905564,63.113335,13.984225,8.173097
3200,52.907696,63.125481,13.984225,8.168834
3300,53.415050,66.188359,13.962908,7.132808
3400,51.946280,61.978483,10.070347,6.177787
3500,52.905564,63.113335,13.984225,8.173097
3600,52.905564,63.113335,13.984225,8.173097
3700,53.685781,67.984190,13.933063,6.561501
3800,52.905564,63.113335,13.984225,8.173097
3900,52.905564,63.113335,13.984225,8.173097
4000,51.166063,56.510355,10.121509,7.789384
4100,51.187380,56.648365,10.117246,7.742486
4200,51.946280,61.978483,10.070347,6.177787
