Epoca,Accuracy,Precision,Recall,FPR
0,50.000000,-nan,0.000000,0.000000
100,49.989341,0.000000,0.000000,0.021317
200,50.000000,-nan,0.000000,0.000000
300,50.000000,-nan,0.000000,0.000000
400,50.000000,-nan,0.000000,0.000000
500,50.000000,-nan,0.000000,0.000000
600,50.000000,-nan,0.000000,0.000000
700,50.034108,62.903226,0.166276,0.098060
800,50.072479,70.731707,0.247282,0.102324
900,50.076743,86.000000,0.183330,0.029844
1000,50.061821,67.469880,0.238755,0.115114
1100,50.038371,58.823529,0.255809,0.179066
1200,50.006395,51.181102,0.277126,0.264336
1300,50.063952,75.000000,0.191857,0.063952
1400,50.072479,79.310345,0.196120,0.051162
1500,50.070347,72.000000,0.230228,0.089533
1600,50.034108,58.163265,0.243019,0.174803
1700,50.014922,53.153153,0.251546,0.221701
1800,50.023449,54.135338,0.306971,0.260072
1900,50.061821,71.641791,0.204647,0.081006
2000,49.997868,49.681529,0.332552,0.336815
2100,50.017054,55.000000,0.187593,0.153485
2200,49.997868,49.523810,0.221701,0.225965
2300,50.010659,52.427184,0.230228,0.208911
2400,49.985078,47.976879,0.353869,0.383713
2500,49.985078,47.976879,0.353869,0.383713
2600,49.993605,48.760331,0.251546,0.264336
2700,49.985078,47.976879,0.353869,0.383713
2800,49.985078,47.976879,0.353869,0.383713
2900,49.985078,47.976879,0.353869,0.383713
3000,49.985078,47.976879,0.353869,0.383713
3100,49.985078,47.976879,0.353869,0.383713
3200,49.985078,47.976879,0.353869,0.383713
3300,49.982946,47.368421,0.306971,0.341079
3400,49.985078,47.976879,0.353869,0.383713
3500,49.985078,47.976879,0.353869,0.383713
3600,50.006395,51.612903,0.204647,0.191857
