Epoca,Accuracy,Precision,Recall,FPR
0,53.701773,61.606726,19.648443,12.244898
100,67.875763,75.369979,53.105914,17.354387
200,77.930880,84.340659,68.598242,12.736481
300,81.200655,87.395108,72.918218,10.516907
400,82.623268,88.340336,75.167585,9.921049
500,83.613884,89.114231,76.582750,9.354983
600,84.544913,90.499476,77.193505,8.103679
700,84.500223,91.759827,75.808133,6.807687
800,85.297185,91.592066,77.729778,7.135409
900,85.878147,91.192064,79.427976,7.671682
1000,86.101594,91.950840,79.130046,6.926858
1100,86.146283,92.384279,78.787427,6.494861
1200,86.362282,91.898387,79.755698,7.031134
1300,86.347386,92.672263,78.936392,6.241621
1400,86.481454,92.428967,79.472665,6.509757
1500,86.459109,92.676548,79.174736,6.256517
1600,86.481454,93.101021,78.802324,5.839416
1700,86.727246,92.900644,79.532251,6.077760
1800,87.002830,91.804106,81.260241,7.254581
1900,86.459109,92.916009,78.936392,6.018174
2000,86.838969,92.230191,80.455832,6.777894
2100,86.853866,92.832410,79.874870,6.167138
2200,86.794280,92.822469,79.755698,6.167138
2300,86.555936,92.574601,79.487561,6.375689
2400,86.779383,92.539628,80.008938,6.450171
2500,86.526143,93.290960,78.712945,5.660658
2600,86.771935,92.893136,79.636526,6.092656
2700,86.712349,92.719709,79.681216,6.256517
2800,86.600626,93.059937,79.100253,5.899002
2900,86.637867,93.005770,79.234321,5.958588
3000,86.615522,93.213783,78.981081,5.750037
3100,86.555936,92.962185,79.100253,5.988381
3200,86.533592,93.064091,78.951289,5.884105
3300,86.235662,93.429745,77.953225,5.481901
3400,86.518695,93.289776,78.698049,5.660658
3500,86.526143,93.444366,78.563980,5.511694
3600,86.451661,93.432730,78.415016,5.511694
3700,86.548488,93.263975,78.787427,5.690451
3800,86.354834,93.572576,78.072397,5.362729
3900,86.570833,93.435952,78.668256,5.526590
4000,86.444213,93.524284,78.310740,5.422315
4100,86.228214,93.741007,77.640399,5.183971
4200,86.608074,93.411058,78.772531,5.556383
4300,86.250559,93.854749,77.580813,5.079696
4400,86.503799,92.923454,79.025771,6.018174
4500,86.563384,93.312158,78.772531,5.645762
4600,86.406972,93.534022,78.221362,5.407418
4700,86.332489,93.538022,78.057500,5.392522
4800,86.280352,93.701776,77.789364,5.228661
4900,86.533592,93.094360,78.921496,5.854313
5000,86.339937,93.477099,78.131983,5.452108
5100,86.347386,93.493761,78.131983,5.437211
5200,86.474006,93.282659,78.608670,5.660658
5300,86.749590,93.326308,79.159839,5.660658
5400,86.637867,92.781353,79.457769,6.182035
5500,86.466557,93.159379,78.712945,5.779830
5600,86.347386,93.063890,78.549084,5.854313
5700,86.049456,93.556515,77.431849,5.332936
5800,86.362282,93.234148,78.415016,5.690451
5900,86.243110,93.555317,77.848950,5.362729
6000,86.220766,93.165276,78.176672,5.735141
6100,86.310144,93.027361,78.504394,5.884105
6200,86.131387,93.273863,77.878743,5.615969
6300,86.332489,93.000705,78.578877,5.913898
6400,86.421868,92.744755,79.025771,6.182035
6500,86.250559,93.323838,78.087293,5.586176
6600,86.444213,92.868407,78.951289,6.062863
6700,86.317593,93.074205,78.474602,5.839416
6800,86.466557,93.022847,78.847013,5.913898
6900,86.302696,93.071757,78.444809,5.839416
7000,86.258007,92.837029,78.578877,6.062863
7100,86.109042,93.009226,78.087293,5.869209
7200,86.190973,92.977180,78.295844,5.913898
7300,86.280352,93.083319,78.385223,5.824520
7400,86.421868,93.167373,78.608670,5.764934
7500,86.325041,93.366530,78.206465,5.556383
7600,86.362282,93.249468,78.400119,5.675555
7700,86.272903,92.915051,78.534187,5.988381
7800,86.101594,93.176554,77.908536,5.705348
7900,85.997319,92.807795,78.042604,6.047967
8000,86.265455,93.668161,77.789364,5.258454
8100,86.272903,92.854629,78.593773,6.047967
8200,86.168628,92.867232,78.355430,6.018174
8300,86.183525,93.189900,78.072397,5.705348
8400,85.982422,93.452060,77.387159,5.422315
8500,86.012215,93.146529,77.744675,5.720244
8600,86.176076,93.142654,78.102190,5.750037
8700,86.310144,93.379605,78.161776,5.541487
8800,86.190973,92.886143,78.385223,6.003277
8900,86.064353,93.108974,77.893639,5.764934
9000,86.190973,93.594114,77.699985,5.318040
9100,85.878147,93.404217,77.208402,5.452108
9200,86.287800,93.084542,78.400119,5.824520
9300,86.138835,93.901556,77.297780,5.020110
9400,86.049456,93.792979,77.208402,5.109489
9500,86.146283,93.446732,77.744675,5.452108
9600,86.272903,93.189074,78.266051,5.720244
9700,86.250559,93.277610,78.131983,5.630865
9800,85.937733,93.617791,77.133919,5.258454
9900,86.220766,93.334521,78.012811,5.571280
