Epoca,Accuracy,Precision,Recall,FPR
0,52.130195,59.073604,13.868613,9.608223
100,69.119619,77.932535,53.344257,15.105020
200,79.003426,86.570248,68.657828,10.650976
300,82.757337,88.769394,75.003724,9.489051
400,83.710711,89.701754,76.165649,8.744228
500,84.246983,91.038915,75.971995,7.478028
600,84.827946,91.205499,77.089230,7.433338
700,84.746015,91.173875,76.940265,7.448235
800,84.991807,91.370201,77.282884,7.299270
900,85.356770,91.574707,77.878743,7.165202
1000,85.200358,91.763874,77.342470,6.941755
1100,85.408908,92.130450,77.431849,6.614032
1200,85.520632,92.345942,77.461642,6.420378
1300,85.587666,92.223400,77.729778,6.554447
1400,85.602562,92.405962,77.580813,6.375689
1500,85.326978,92.814587,76.582750,5.928795
1600,85.542976,92.200212,77.655296,6.569343
1700,85.274840,91.748942,77.521227,6.971548
1800,85.289736,91.973777,77.327573,6.748101
1900,85.230150,92.007105,77.163712,6.703411
2000,85.289736,92.561983,76.746611,6.167138
2100,85.163116,92.054160,76.970058,6.643825
2200,85.014152,92.404835,76.299717,6.271414
2300,85.006703,92.914536,75.793237,5.779830
2400,85.096082,92.681159,76.210338,6.018174
2500,85.058841,92.597285,76.210338,6.092656
2600,85.029048,92.591922,76.150752,6.092656
2700,84.559809,93.364486,74.407865,5.288247
2800,84.746015,93.106635,75.048414,5.556383
2900,84.813049,92.943771,75.346343,5.720244
